OBJECTID,YEAR_,ALARM_DATE,CONT_DATE,CAUSE,REPORT_AC,GIS_ACRES,FIRE_NUM
"21440","2020",2020/06/18,2020/06/23,"11",110.000000000000000,109.602500915527344,
"21441","2020",2020/06/01,2020/06/04,"2",670.000000000000000,685.585021972656250,
"21442","2020",2020/08/10,2020/03/01,"14",26.000000000000000,27.300479888916016,
"21443","2020",2020/03/31,2020/04/01,"9",13.000000000000000,12.931550025939941,
"21444","2020",2020/04/14,2020/04/19,"18",10.300000000000001,10.315959930419922,
"21445","2020",2020/07/05,2020/07/05,"14",36.000000000000000,36.701930999755859,
"21446","2020",2020/07/15,2020/07/16,"14",377.000000000000000,376.910491943359375,
"21447","2020",2020/07/09,2020/07/12,"9",10.699999999999999,10.102210044860840,
"21448","2020",2020/03/10,2020/03/11,"5",34.000000000000000,33.973888397216797,
"21449","2020",2020/09/09,2020/10/13,"7",1311.000000000000000,1309.089965820312500,
"21450","2020",2020/07/06,2020/07/06,"8",195.000000000000000,194.660293579101562,
"21451","2020",2020/07/24,2020/07/31,"8",22.699999999999999,22.634300231933594,
"21452","2020",2020/10/06,2020/10/09,"5",55.000000000000000,55.328430175781250,
"21453","2020",2020/08/17,2020/09/28,"1",705.000000000000000,705.546020507812500,
"21454","2020",2020/08/02,2020/08/02,"11",532.000000000000000,532.773376464843750,
"21455","2020",2020/06/15,2020/06/15,"11",13.800000000000001,13.694729804992676,
"21456","2020",2020/06/17,2020/06/25,"14",95.000000000000000,103.331298828124986,
"21458","2020",2020/08/17,2020/09/10,"1",710.000000000000000,925.401916503906250,
"21459","2020",2020/08/17,2020/09/10,"1",12.000000000000000,260.175598144531250,
"21460","2020",2020/06/18,2020/06/23,"14",134.000000000000000,13.279560089111328,
"21461","2020",2020/06/29,2020/06/29,"7",20.000000000000000,20.208299636840820,
"21462","2020",2020/08/16,2020/09/24,"1",86509.000000000000000,86553.460937500000000,
"21463","2020",2020/09/07,2020/09/28,"9",1100.000000000000000,1146.465942382812500,
"21464","2020",2020/08/18,2020/08/26,"10",820.000000000000000,834.244323730468750,
"21465","2020",2020/08/18,2020/10/21,"1",62.000000000000000,65.008552551269531,
"21466","2020",2020/06/09,2020/06/18,"2",150.000000000000000,150.494506835937500,
"21467","2020",2020/08/10,2020/08/15,"4",170.000000000000000,158.869201660156250,
"21470","2020",2020/03/02,2020/03/06,"14",154.000000000000000,155.272994995117188,
"21471","2020",2020/02/22,2020/02/23,"18",200.000000000000000,181.440505981445312,
"21472","2020",2020/08/17,2020/08/18,"1",300.000000000000000,278.010009765625000,
"21473","2020",2020/08/16,2020/08/17,"1",727.000000000000000,730.481384277343750,
"21474","2020",2020/04/23,2020/04/24,"5",26.399999999999999,26.406660079956055,
"21476","2020",2020/06/30,2020/07/11,"14",136.000000000000000,137.581405639648438,
"21477","2020",2020/06/20,2020/06/22,"14",89.000000000000000,88.186019897460938,
"21478","2020",2020/10/15,2020/10/20,"14",30.000000000000000,31.061090469360352,
"21483","2020",2020/08/14,2020/08/14,"14",110.000000000000000,106.785102844238281,
"21484","2020",2020/08/10,2020/08/12,"10",65.000000000000000,71.949943542480469,
"21485","2020",2020/06/05,2020/06/06,"2",30.000000000000000,30.024929046630859,
"21486","2020",2020/10/15,2020/10/17,"14",29.000000000000000,28.574560165405273,
"21487","2020",2020/06/11,2020/06/13,"14",40.000000000000000,39.866058349609375,
"21488","2020",2020/12/31,2020/01/31,"5",16.000000000000000,15.859510421752930,
"21489","2020",2020/05/06,2020/05/09,"2",50.000000000000000,49.009910583496094,
