"","Visits","Date","Year","Month","Sumfire","Firecounts"
"1",297207,2019-04-01,2019,4,95.06,2
"2",393004,2019-05-01,2019,5,4630.86403067169,14
"3",496625,2019-06-01,2019,6,6662.83,33
"4",717462,2019-07-01,2019,7,9210.24,25
"5",703153,2019-08-01,2019,8,11564.5578393634,26
"6",584664,2019-09-01,2019,9,82086.7,35
"7",448939,2019-10-01,2019,10,36835.1,24
"8",230598,2019-11-01,2019,11,5810.5,8
"9",149188,2019-12-01,2019,12,13,1
"10",129432,2018-01-01,2018,1,4,8
"11",143321,2018-02-01,2018,2,2094.5,7
"12",170681,2018-03-01,2018,3,0.01,2
"13",278349,2018-04-01,2018,4,1346.55,6
"14",385670,2018-05-01,2018,5,2552.13,19
"15",543690,2018-06-01,2018,6,32347.42,63
"16",504230,2018-07-01,2018,7,798461.09,67
"17",441867,2018-08-01,2018,8,47545.5,30
"18",524387,2018-09-01,2018,9,6581.42,28
"19",360776,2018-10-01,2018,10,8000.23,20
"20",215854,2018-11-01,2018,11,255189,18
"21",311179,2018-12-01,2018,12,3.2,2
"22",302553,2017-04-01,2017,4,63,8
"23",471844,2017-05-01,2017,5,191.7,14
"24",565702,2017-06-01,2017,6,20763.7,35
"25",633351,2017-07-01,2017,7,99347.29,72
"26",615892,2017-08-01,2017,8,82757.6,67
"27",566279,2017-09-01,2017,9,48096.8,61
"28",429827,2017-10-01,2017,10,186658.08,25
"29",217927,2017-11-01,2017,11,53,2
"30",127276,2017-12-01,2017,12,303632,11
"31",201601,2016-02-01,2016,2,13.4842540585621,3
"32",286990,2016-03-01,2016,3,21,1
"33",305092,2016-04-01,2016,4,717.75,13
"34",457309,2016-05-01,2016,5,6035.72942700244,24
"35",703614,2016-06-01,2016,6,75274.0632200639,67
"36",780728,2016-07-01,2016,7,183464.795913452,56
"37",692450,2016-08-01,2016,8,168281.68742426,47
"38",598428,2016-09-01,2016,9,17540.7641262632,42
"39",483232,2016-10-01,2016,10,13628.5656425236,14
"40",218998,2016-11-01,2016,11,116.265724030709,4
"41",160646,2016-12-01,2016,12,5.96738749358333,2
"42",128318,2015-01-01,2015,1,89,2
"43",135316,2015-02-01,2015,2,7544,4
"44",194667,2015-03-01,2015,3,6.6,1
"45",281328,2015-04-01,2015,4,161.179507626864,6
"46",408121,2015-05-01,2015,5,151.540212634048,11
"47",545231,2015-06-01,2015,6,4960.10000038147,22
"48",626009,2015-07-01,2015,7,253635.167958947,49
"49",636936,2015-08-01,2015,8,47987.5800007629,28
"50",527402,2015-09-01,2015,9,74222.2382940806,17
"51",357223,2015-10-01,2015,10,1583.98101688152,10
"52",169425,2015-11-01,2015,11,90.790749544846,6
"53",140241,2015-12-01,2015,12,1312.4,3
"54",112133,2014-01-01,2014,1,2603.86783470958,12
"55",113403,2014-02-01,2014,2,20,1
"56",146750,2014-03-01,2014,3,309,2
"57",242722,2014-04-01,2014,4,379.197767749429,4
"58",333308,2014-05-01,2014,5,666.093481488526,5
"59",496363,2014-06-01,2014,6,2629.02980059385,9
"60",623663,2014-07-01,2014,7,156190.509506996,54
"61",654157,2014-08-01,2014,8,537.134774237871,16
"62",467205,2014-09-01,2014,9,100820.905151289,24
"63",354769,2014-10-01,2014,10,772.592296972871,8
"64",203678,2014-11-01,2014,11,0.287749886512756,3
"65",103910,2013-01-01,2013,1,309,2
"66",114440,2013-02-01,2013,2,406,1
"67",165409,2013-03-01,2013,3,12,1
"68",231178,2013-04-01,2013,4,450.2,7
"69",370422,2013-05-01,2013,5,66146.485,29
"70",508941,2013-06-01,2013,6,4249.994,24
"71",611538,2013-07-01,2013,7,24357.3,16
"72",552137,2013-08-01,2013,8,303214.2,33
"73",460855,2013-09-01,2013,9,12235.1,13
"74",279526,2013-10-01,2013,10,799,8
"75",161356,2013-11-01,2013,11,4236.08,8
"76",131479,2013-12-01,2013,12,997,4
"77",120496,2012-01-01,2012,1,59.76,6
"78",113341,2012-02-01,2012,2,240.329959351145,7
"79",136687,2012-03-01,2012,3,54.7,5
"80",243102,2012-04-01,2012,4,7.8,3
"81",356500,2012-05-01,2012,5,2015.57,15
"82",528186,2012-06-01,2012,6,91663.1438625388,55
"83",623101,2012-07-01,2012,7,120759.55,45
"84",660118,2012-08-01,2012,8,437745.801770019,50
"85",482004,2012-09-01,2012,9,37581,15
"86",322687,2012-10-01,2012,10,770.1,13
"87",141868,2012-11-01,2012,11,26.16,3
"88",93588,2011-02-01,2011,2,10,1
"89",100433,2011-03-01,2011,3,1133,2
"90",231372,2011-04-01,2011,4,12,1
"91",356588,2011-05-01,2011,5,1716.2,13
"92",503741,2011-06-01,2011,6,11523.7,15
"93",704553,2011-07-01,2011,7,26001.6,31
"94",699749,2011-08-01,2011,8,10521.0647728459,38
"95",533502,2011-09-01,2011,9,134323.8,63
"96",360449,2011-10-01,2011,10,104.6,5
"97",139079,2011-11-01,2011,11,61,2
"98",127621,2011-12-01,2011,12,1633.3,18
"99",149651,2010-03-01,2010,3,120,2
"100",382414,2010-05-01,2010,5,3718.6,8
"101",521059,2010-06-01,2010,6,3978,23
"102",643566,2010-07-01,2010,7,62228.9295559694,47
"103",659857,2010-08-01,2010,8,9985.5,34
"104",520210,2010-09-01,2010,9,10525,10
"105",356370,2010-10-01,2010,10,2362,8
"106",148459,2010-11-01,2010,11,127,2
"107",101984,2009-01-01,2009,1,1913,2
"108",78795,2009-02-01,2009,2,945,1
"109",132711,2009-03-01,2009,3,128,2
"110",230828,2009-04-01,2009,4,338.5,6
"111",399683,2009-05-01,2009,5,13875,19
"112",483382,2009-06-01,2009,6,10268.2,26
"113",586591,2009-07-01,2009,7,16020.3,35
"114",643300,2009-08-01,2009,8,399715.4,39
"115",471530,2009-09-01,2009,9,20840.7270134429,19
"116",346826,2009-10-01,2009,10,975,5
"117",151297,2009-11-01,2009,11,100.6,2
"118",95124,2008-01-01,2008,1,0.1,1
"119",153735,2008-03-01,2008,3,834.3,4
"120",199592,2008-04-01,2008,4,147.8,6
"121",361193,2008-05-01,2008,5,21866.8,17
"122",539874,2008-07-01,2008,7,72794,47
"123",543799,2008-08-01,2008,8,5675,23
"124",416918,2008-09-01,2008,9,20682,16
"125",295547,2008-10-01,2008,10,5840.3,11
"126",146838,2008-11-01,2008,11,13279.43,5
"127",97979,2008-12-01,2008,12,0.5,1
"128",99892,2007-01-01,2007,1,169.3,4
"129",100941,2007-02-01,2007,2,169,1
"130",135925,2007-03-01,2007,3,336,2
"131",219854,2007-04-01,2007,4,3658.3,8
"132",374184,2007-05-01,2007,5,2702.2,14
"133",466054,2007-06-01,2007,6,25953.15,25
"134",543235,2007-07-01,2007,7,289205.21,37
"135",550172,2007-08-01,2007,8,71571.12,46
"136",417882,2007-09-01,2007,9,115790.9,15
"137",298122,2007-10-01,2007,10,94873.05,16
"138",178846,2007-11-01,2007,11,1202.1,6
"139",118321,2007-12-01,2007,12,97.3,2
"140",101194,2006-02-01,2006,2,36,1
"141",309387,2006-05-01,2006,5,5956.30822594558,10
"142",382972,2006-06-01,2006,6,41799.4271126009,41
"143",510932,2006-07-01,2006,7,134590.982628186,77
"144",528254,2006-08-01,2006,8,12653.3541214297,31
"145",421502,2006-09-01,2006,9,194012.8,24
"146",298771,2006-10-01,2006,10,2275,8
"147",165499,2006-11-01,2006,11,64,2
"148",104514,2006-12-01,2006,12,18413.0419431979,6
"149",143335,2005-03-01,2005,3,104,2
"150",195385,2005-04-01,2005,4,250,1
"151",304552,2005-05-01,2005,5,1558.56,9
"152",413124,2005-06-01,2005,6,11051.9,31
"153",554567,2005-07-01,2005,7,49492.43,72
"154",485643,2005-08-01,2005,8,15494.4,46
"155",430134,2005-09-01,2005,9,37706.45,41
"156",318508,2005-10-01,2005,10,1085.6,11
"157",152671,2005-11-01,2005,11,4802.09,8
"158",228212,2004-04-01,2004,4,1431,11
"159",326017,2004-05-01,2004,5,4997.07,31
"160",449566,2004-06-01,2004,6,23108.97,31
"161",531864,2004-07-01,2004,7,44091.26,40
"162",508094,2004-08-01,2004,8,31089.25,46
"163",393437,2004-09-01,2004,9,20917,22
"164",272200,2004-10-01,2004,10,65822.102553997,6
"165",121622,2004-11-01,2004,11,174,4
"166",116984,2003-01-01,2003,1,816,2
"167",137550,2003-03-01,2003,3,100,1
"168",174337,2003-04-01,2003,4,1029,2
"169",280335,2003-05-01,2003,5,1261.1,3
"170",445887,2003-06-01,2003,6,19258.6,32
"171",536683,2003-07-01,2003,7,56243.42,84
"172",604093,2003-08-01,2003,8,71254.47,47
"173",405605,2003-09-01,2003,9,29522.41,73
"174",316366,2003-10-01,2003,10,183365.8,21
"175",136390,2003-11-01,2003,11,520,3
"176",112928,2003-12-01,2003,12,25,1
"177",113695,2002-02-01,2002,2,3.89,2
"178",141766,2002-03-01,2002,3,243,2
"179",186682,2002-04-01,2002,4,9,1
"180",295511,2002-05-01,2002,5,6798,13
"181",436862,2002-06-01,2002,6,95134.07,38
"182",513789,2002-07-01,2002,7,174731.83,38
"183",570914,2002-08-01,2002,8,4583.1,20
"184",426684,2002-09-01,2002,9,37060.72,28
"185",300919,2002-10-01,2002,10,2063.82,9
"186",149828,2002-11-01,2002,11,7663.79,32
"187",102455,2001-01-01,2001,1,10,1
"188",142141,2001-03-01,2001,3,10,1
"189",315897,2001-05-01,2001,5,1246.3,4
"190",434014,2001-06-01,2001,6,2081.25,5
"191",528849,2001-07-01,2001,7,12730,8
"192",591196,2001-08-01,2001,8,100197,16
"193",448519,2001-09-01,2001,9,23593,5
"194",264465,2001-10-01,2001,10,392,3
"195",93633,2000-01-01,2000,1,75,3
"196",136523,2000-03-01,2000,3,2920,3
"197",216087,2000-04-01,2000,4,150,1
"198",317009,2000-05-01,2000,5,740,1
"199",454638,2000-06-01,2000,6,1666,6
"200",548440,2000-07-01,2000,7,87239.1,14
"201",546981,2000-08-01,2000,8,55870,5
"202",388707,2000-09-01,2000,9,8701.2,7
"203",324484,2000-10-01,2000,10,7,1
"204",102345,1999-02-01,1999,2,15,1
